,name,ISO,ADB_DEP,TE_Name,CurrencyCode,currency_Price,currency_YOYChange,currency_Date,CPI_Inflation_YoY,Inflation_Change,CPI_Inflation_Date,Food_Inflation_YoY,Food_Inflation_Change,Food_Inflation_Date
0,Afghanistan,AFG,CWRD,Afghanistan,AFN,88.66,14.02%,Jun/10,1.56,0.20999999999999996,Jun 2021,-0.4,1.1,Jun 2021
1,Armenia,ARM,CWRD,Armenia,AMD,420.95,-18.67%,Jun/10,9.0,0.5999999999999996,May 2022,14.5,0.1999999999999993,May 2022
2,Azerbaijan,AZE,CWRD,Azerbaijan,AZN,1.693,0%,Jun/10,12.4,0.20000000000000107,Apr 2022,17.4,0.3999999999999986,Apr 2022
3,Georgia,GEO,CWRD,Georgia,GEL,2.895,-7.95%,Jun/10,13.3,0.5,May 2022,22.0,0.6999999999999993,May 2022
4,Kazakhstan,KAZ,CWRD,Kazakhstan,KZT,436.08,2.18%,Jun/10,14.0,0.8000000000000007,May 2022,19.0,1.1000000000000014,May 2022
5,Kyrgyzstan,KGZ,CWRD,Kyrgyzstan,KGS,79.5013,-5.99%,Jun/10,14.5,1.3000000000000007,Apr 2022,17.9,2.099999999999998,Apr 2022
6,Pakistan,PAK,CWRD,Pakistan,PKR,201.6,29.44%,Jun/10,13.8,0.40000000000000036,May 2022,17.25,0.21000000000000085,May 2022
7,Tajikistan,TJK,CWRD,Tajikistan,TJS,11.1,-1.86%,Jun/10,7.3,0.0,Apr 2022,8.1,1.0,Apr 2022
8,Turkmenistan,TKM,CWRD,Turkmenistan,TMT,3.49,0%,Jun/10,12.45,4.869999999999999,Dec 2021,,,
9,Uzbekistan,UZB,CWRD,Uzbekistan,UZS,11000.03,3.85%,Jun/10,10.95,0.5699999999999985,May 2022,14.3,-2.8999999999999986,Dec 2021
10,China,CHN,EARD,China,CNY,6.7316,5.26%,Jun/10,2.1,0.0,May 2022,2.3,0.3999999999999999,May 2022
11,Hong Kong,HKG,EARD,Hong-Kong,HKD,7.8494,1.14%,Jun/10,1.3,-0.3999999999999999,Apr 2022,4.0,-0.5999999999999996,Apr 2022
12,"Korea, Republic of",KOR,EARD,south-korea,KRW,1275.77,14.28%,Jun/10,5.4,0.6000000000000005,May 2022,6.02,1.4499999999999993,May 2022
13,Mongolia,MNG,EARD,Mongolia,MNT,3100.0,9.93%,Jun/10,14.4,0.0,Apr 2022,16.8,-1.1999999999999993,Apr 2022
14,"Taiwan, Province of China",TWN,EARD,Taiwan,TWD,29.657,7.29%,Jun/10,3.39,0.010000000000000231,May 2022,6.91,1.0099999999999998,Apr 2022
15,Cook Islands,COK,PARD,Cook-Islands,NZD,,,,,,,,,
16,Fiji,FJI,PARD,Fiji,FJD,2.185,7.50%,Jun/10,5.0,0.2999999999999998,May 2022,3.6,-3.4999999999999996,May 2022
17,Kiribati,KIR,PARD,Kiribati,AUD,,,,,,,,,
18,Marshall Islands,MHL,PARD,Marshall-Islands,USD,,,,,,,,,
19,Micronesia (Federated States of),FSM,PARD,micronesia,USD,,,,,,,,,
20,Nauru,NRU,PARD,Nauru,AUD,,,,,,,,,
21,Niue,NIU,PARD,Niue,NZD,,,,,,,,,
22,Palau,PLW,PARD,Palau,USD,,,,,,,,,
23,Papua New Guinea,PNG,PARD,Papua-New-Guinea,PGK,3.5243,0.16%,Jun/10,6.9,1.2000000000000002,Mar 2022,6.2,1.0,Mar 2022
24,Samoa,WSM,PARD,Samoa,WST,,,,,,,,,
25,Solomon Islands,SLB,PARD,Solomon-Islands,SBD,,,,,,,,,
26,Tonga,TON,PARD,Tonga,TOP,,,,,,,,,
27,Tuvalu,TUV,PARD,Tuvalu,AUD,,,,,,,,,
28,Vanuatu,VUT,PARD,Vanuatu,VUV,,,,,,,,,
29,Bangladesh,BGD,SARD,Bangladesh,BDT,92.81,10.04%,Jun/10,6.29,0.07000000000000028,Apr 2022,6.2,-0.09999999999999964,Apr 2022
30,Bhutan,BTN,SARD,Bhutan,INR,78.1156,6.66%,Jun/10,5.79,0.21999999999999975,Apr 2022,3.72,-0.2899999999999996,Apr 2022
31,India,IND,SARD,India,INR,78.1156,6.66%,Jun/10,7.79,0.8399999999999999,Apr 2022,8.38,0.7000000000000011,Apr 2022
32,Maldives,MDV,SARD,Maldives,MVR,15.42,0%,Jun/10,1.2,0.09999999999999987,Apr 2022,3.6,0.0,Apr 2022
33,Nepal,NPL,SARD,Nepal,NPR,124.53,6.52%,Jun/10,7.28,0.14000000000000057,Apr 2022,7.4,0.2600000000000007,Apr 2022
34,Sri Lanka,LKA,SARD,Sri-Lanka,LKR,355.0,80.20%,Jun/10,39.1,9.3,May 2022,57.4,10.799999999999997,May 2022
35,Brunei Darussalam,BRN,SERD,brunei,BND,1.3876,4.68%,Jun/10,3.2,0.40000000000000036,Feb 2022,2.6,0.10000000000000009,Feb 2022
36,Cambodia,KHM,SERD,Cambodia,KHR,4052.0,-0.49%,Jun/10,6.3,2.2,Feb 2022,5.87,2.24,Feb 2022
37,Indonesia,IDN,SERD,Indonesia,IDR,14550.0,2.55%,Jun/10,3.55,0.07999999999999963,May 2022,5.62,0.41999999999999993,May 2022
38,Lao People's Democratic Republic,LAO,SERD,laos,LAK,14651.0,55.12%,Jun/10,12.8,2.9000000000000004,May 2022,8.2,2.499999999999999,May 2022
39,Malaysia,MYS,SERD,Malaysia,MYR,4.4,7.16%,Jun/10,2.3,0.09999999999999964,Apr 2022,4.1,0.09999999999999964,Apr 2022
40,Myanmar,MMR,SERD,Myanmar,MMK,1850.0,12.67%,Jun/10,12.63,1.0200000000000014,Dec 2021,12.4,1.5999999999999996,Dec 2021
41,Philippines,PHL,SERD,Philippines,PHP,53.05,11.05%,Jun/10,5.4,0.5,May 2022,4.9,1.1000000000000005,May 2022
42,Singapore,SGP,SERD,Singapore,SGD,1.3877,4.71%,Jun/10,5.4,0.0,Apr 2022,4.1,0.7999999999999998,Apr 2022
43,Thailand,THA,SERD,Thailand,THB,34.72,11.71%,Jun/10,7.1,2.4499999999999993,May 2022,6.18,1.3499999999999996,May 2022
44,Timor-Leste,TLS,SERD,Timor-Leste,USD,,,,,,,,,
45,Viet Nam,VNM,SERD,Vietnam,VND,23177.0,1.01%,Jun/10,2.86,0.21999999999999975,May 2022,2.42,0.3700000000000001,May 2022
